node1,node2,weight,weight_rescaled
배터리,충전,0.5195495196248635,5
벤처,인수목적회사,0.4425976345589474,1
부동산,주택,0.47015421011624087,1
부동산,중국,0.44211532384362684,1
블록딜,엘리베이터,0.4864376674323121,1
블록딜,조선,0.4710160141116547,1
블록체인,비트코인,0.6227275612068696,10
블록체인,시큐리티,0.48790350124866905,1
블록체인,암호화폐,0.6708860378957274,10
블록체인,핀테크,0.5722075962917896,5
비트코인,암호화폐,0.6614445771185032,10
비트코인,핀테크,0.5019007012716529,5
상장,증권,0.5144612204430911,5
상장,커머스,0.5405753518324334,5
상장,코스닥,0.47462581008221305,1
상장,코스피,0.4883924690786335,1
세포유전자치료제,유전자 치료제/분석,0.7243185259962794,10
스마트물류솔루션,스타트업,0.45818217811610823,1
스타트업,핀테크,0.44461053382000804,1
시큐리티,암호화폐,0.48237941286014163,1
시큐리티,의료기기,0.44694188109080857,1
시큐리티,핀테크,0.596479732395247,5
신한금융,자본성증권,0.5831139455435257,5
신한금융,증권,0.4494371707183225,1
암호화폐,핀테크,0.47348832815969377,1
에너지,자원개발,0.5158544592940727,5
에너지,천연가스,0.4763751522427442,1
에너지솔루션,유상증자,0.5448463597079722,5
에너지솔루션,자사주,0.4705993027203517,1
에너지솔루션,전력,0.43714599870862125,1
에너지솔루션,충전,0.430263235545314,1
에너지솔루션,컴투스,0.49814795324188027,1
에너지솔루션,화학,0.5267459598079955,5
영화,영화관,0.493103962036561,1
영화관,유상증자,0.5057886323584038,5
유상증자,자사주,0.5114088924392858,5
유상증자,컴투스,0.4893314465911204,1
유상증자,화학,0.5622716392317972,5
이차전지,제강사,0.4526790793519063,1
이차전지,철강,0.5192411653779133,5
이차전지,첨단,0.5029083155672359,5
자동차,자동차 대표주,0.4408004206148821,1
자동차,첨단,0.5282268847592977,5
자동차 대표주,충전,0.5700257720082627,5
자동차 대표주,타이어,0.49458650955091177,1
자본성증권,중국,0.4490374508113407,1
자본성증권,채권,0.4590781995814884,1
자사주,컴투스,0.7084376688472224,10
전력,컴투스,0.4552327004015839,1
전력,화학,0.4904051995000399,1
제강사,철강,0.46707203481500437,1
주식,증권,0.48322024960889076,1
충전,타이어,0.4835422221377075,1
코스닥,코스피,0.600967307707557,10
